epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,4470.7,0.81482,0.54253,1.00635,0.81149,0.65666,0.73897,0.4667,1.40788,1.08591,1.44782,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4523.1,0.80752,0.53931,1.00476,0.81133,0.65542,0.7372,0.46542,1.40914,1.08925,1.45125,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4573.98,0.79958,0.53247,0.99813,0.81,0.65782,0.73784,0.46651,1.41137,1.08663,1.45631,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,4627.78,0.79749,0.53134,0.99941,0.78169,0.67208,0.73502,0.46458,1.4138,1.09367,1.45718,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4678.63,0.78689,0.51991,0.99202,0.79764,0.66393,0.7348,0.46475,1.41208,1.08785,1.45518,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4729.74,0.78746,0.5267,0.99638,0.80584,0.65135,0.7334,0.46431,1.41278,1.09067,1.45645,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4782.22,0.78349,0.52141,0.9952,0.80835,0.65655,0.73463,0.46362,1.4171,1.09093,1.46018,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4834.17,0.70517,0.38948,0.93913,0.79087,0.67165,0.73323,0.46218,1.41559,1.08548,1.46273,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4886.45,0.67328,0.36973,0.92675,0.77588,0.68259,0.73283,0.46027,1.41745,1.09429,1.4676,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4938.81,0.65901,0.36241,0.91992,0.78452,0.67587,0.73286,0.45928,1.41826,1.09936,1.47045,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4989.72,0.65224,0.36813,0.92056,0.77876,0.67936,0.72928,0.457,1.42138,1.10535,1.47692,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5041.46,0.64902,0.35598,0.91881,0.78195,0.67895,0.72735,0.45549,1.42442,1.1097,1.48322,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5091.05,0.63528,0.34871,0.92074,0.76991,0.68679,0.72512,0.45525,1.42595,1.11508,1.48539,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,5141.48,0.63015,0.35677,0.9103,0.77092,0.68438,0.72565,0.45448,1.42725,1.12301,1.48857,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,5191.03,0.62559,0.34811,0.91001,0.77315,0.67945,0.72445,0.45427,1.42757,1.12892,1.49222,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,5241.5,0.61761,0.34117,0.91009,0.78957,0.66562,0.72262,0.45343,1.42992,1.13513,1.49661,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,5291.11,0.60754,0.33373,0.90307,0.78931,0.6662,0.72113,0.45208,1.4307,1.13977,1.49814,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
